frame,real_seconds,art_scale,target_scale,dust_vertices,cloud_x,cloud_y
302,9.668415,1.000000,1.000000,1157,35.092580,16.919640
303,9.717556,1.000000,1.000000,1157,35.232490,16.987100
304,9.718010,1.000000,1.000000,1157,35.241820,16.991590
305,9.768349,1.000000,1.000000,1157,35.372430,17.054570
306,9.817066,1.000000,1.000000,1157,35.512390,17.122050
307,9.817673,1.000000,1.000000,1157,35.521710,17.126540
308,9.869312,1.000000,1.000000,1157,35.652480,17.189590
309,9.919804,1.000000,1.000000,1157,35.801810,17.261590
310,9.920345,1.000000,1.000000,1157,35.811130,17.266080
311,9.970253,1.000000,1.000000,1157,35.932310,17.324510
312,10.017990,1.000000,1.000000,1157,36.081680,17.396530
313,10.018420,1.000000,1.000000,1157,36.091010,17.401020
314,10.068230,1.000000,1.000000,1157,36.212470,17.459590
315,10.116920,1.000000,1.000000,1157,36.352340,17.527020
316,10.117380,1.000000,1.000000,1157,36.361670,17.531520
317,10.169690,1.000000,1.000000,1157,36.482960,17.590000
318,10.220710,1.000000,1.000000,1157,36.641620,17.666500
319,10.221190,1.000000,1.000000,1157,36.650940,17.670990
320,10.273660,1.000000,1.000000,1157,36.781720,17.734040
321,10.323710,1.000000,1.000000,1157,36.931080,17.806060
322,10.324250,1.000000,1.000000,1157,36.940410,17.810550
323,10.373760,1.000000,1.000000,1157,37.061560,17.868970
324,10.421900,1.000000,1.000000,1157,37.211030,17.941030
325,10.422370,1.000000,1.000000,1157,37.220350,17.945530
326,10.471970,1.000000,1.000000,1157,37.332350,17.999530
327,10.520470,1.000000,1.000000,1157,37.490940,18.075990
328,10.521000,1.000000,1.000000,1157,37.500260,18.080490
329,10.571390,1.000000,1.000000,1157,37.621730,18.139050
330,10.619900,1.000000,1.000000,1157,37.770980,18.211010
331,10.620550,1.000000,1.000000,1157,37.780300,18.215500
332,10.669220,1.000000,1.000000,1157,37.901630,18.274000
333,10.717510,1.000000,1.000000,1157,38.050940,18.345990
334,10.717980,1.000000,1.000000,1157,38.060260,18.350480
335,10.768970,1.000000,1.000000,1157,38.172330,18.404520
336,10.816290,1.000000,1.000000,1157,38.321620,18.476500
337,10.816960,1.000000,1.000000,1157,38.330950,18.480990
338,10.870760,1.000000,1.000000,1157,38.452380,18.539540
339,10.921750,1.000000,1.000000,1157,38.610940,18.615990
340,10.922300,1.000000,1.000000,1157,38.620260,18.620480
341,11.000180,1.000000,1.000000,1157,38.741580,18.678980
342,11.052740,1.000000,1.000000,1157,38.956260,18.782480
343,11.056870,1.000000,1.000000,1157,38.965590,18.786980
344,11.060670,1.000000,1.000000,1157,39.105630,18.854500
345,11.063340,1.000000,1.000000,1157,39.114950,18.858990
346,11.066890,1.000000,1.000000,1157,39.124270,18.863490
347,11.073570,1.000000,1.000000,1157,39.142910,18.872470
348,11.122380,1.000000,1.000000,1157,39.198920,18.899480
349,11.171180,1.000000,1.000000,1157,39.320310,18.958010
350,11.171770,1.000000,1.000000,1157,39.329640,18.962500
351,11.223500,1.000000,1.000000,1157,39.441540,19.016460
352,11.272540,1.000000,1.000000,1157,39.600230,19.092970
353,11.273030,1.000000,1.000000,1157,39.609550,19.097470
354,11.324870,1.000000,1.000000,1157,39.730870,19.155950
355,11.372990,1.000000,1.000000,1157,39.880200,19.227950
356,11.373510,1.000000,1.000000,1157,39.889520,19.232450
357,11.421010,1.000000,1.000000,1157,40.010910,19.290970
358,11.467140,1.000000,1.000000,1157,40.150880,19.358460
359,11.467540,1.000000,1.000000,1157,40.160200,19.362960
360,11.515060,1.000000,1.000000,1157,40.272220,19.416970
361,11.559930,1.000000,1.000000,1157,40.412300,19.484500
362,11.560430,1.000000,1.000000,1157,40.421620,19.489000
363,11.607410,1.000000,1.000000,1157,40.533490,19.542930
364,11.653010,1.000000,1.000000,1157,40.673550,19.610460
365,11.653390,1.000000,1.000000,1157,40.682880,19.614960
366,11.701510,1.000000,1.000000,1157,40.794810,19.668930
367,11.748140,1.000000,1.000000,1157,40.934870,19.736460
368,11.748550,1.000000,1.000000,1157,40.944200,19.740950
369,11.797270,1.000000,1.000000,1157,41.056250,19.794980
370,11.843640,1.000000,1.000000,1157,41.196220,19.862460
371,11.844150,1.000000,1.000000,1157,41.205550,19.866960
372,11.895390,1.000000,1.000000,1157,41.326870,19.925460
373,11.944940,1.000000,1.000000,1157,41.476210,19.997460
374,11.945270,1.000000,1.000000,1157,41.485530,20.001950
375,11.992770,1.000000,1.000000,1157,41.597490,20.055930
376,12.038560,1.000000,1.000000,1157,41.746820,20.127930
