time,elapsed,host,local,round,x,y,z,trip,stun,mash,holding,shoeActive,shoeState,shoeX,shoeY,shoeZ,episode,ack,map,swimming,swimAnimation,floating,eyeY
36.6236,19.9052,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
36.6741,19.9557,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
36.7243,20.0059,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
36.7744,20.0560,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
36.8258,20.1074,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
36.8759,20.1575,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
36.9260,20.2076,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
36.9761,20.2577,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
37.0266,20.3082,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
37.0771,20.3587,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
37.1275,20.4091,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
37.1788,20.4604,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
37.2295,20.5111,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
37.2803,20.5619,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
37.3311,20.6128,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
37.3815,20.6631,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
37.4324,20.7140,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
37.4829,20.7645,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
37.5330,20.8146,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
37.5838,20.8654,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
37.6346,20.9162,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
37.6852,20.9668,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
37.7354,21.0170,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
37.7855,21.0671,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
37.8362,21.1178,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
37.8869,21.1685,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
37.9369,21.2185,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
37.9871,21.2688,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
38.0390,21.3206,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
38.0899,21.3715,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
38.1405,21.4221,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
