frame,real_seconds,art_scale,target_scale,dust_vertices,cloud_x,cloud_y
204,5.918884,1.000000,1.000000,377,8.133327,0.408931
205,5.961517,1.000000,1.000000,377,8.171920,0.410893
206,6.005289,1.000000,1.000000,377,8.220971,0.413388
207,6.005556,1.000000,1.000000,377,8.224472,0.413566
208,6.048613,1.000000,1.000000,377,8.263041,0.415528
209,6.091400,1.000000,1.000000,377,8.312073,0.418023
210,6.091677,1.000000,1.000000,377,8.315572,0.418201
211,6.134262,1.000000,1.000000,377,8.350584,0.419983
212,6.177824,1.000000,1.000000,377,8.403111,0.422657
213,6.178082,1.000000,1.000000,377,8.406609,0.422835
214,6.221600,1.000000,1.000000,377,8.441607,0.424617
215,6.264877,1.000000,1.000000,377,8.494103,0.427290
216,6.265148,1.000000,1.000000,377,8.497599,0.427468
217,6.307745,1.000000,1.000000,377,8.536072,0.429428
218,6.351267,1.000000,1.000000,377,8.585017,0.431921
219,6.351528,1.000000,1.000000,377,8.588510,0.432099
220,6.394773,1.000000,1.000000,377,8.623479,0.433881
221,6.437614,1.000000,1.000000,377,8.672389,0.436373
222,6.437889,1.000000,1.000000,377,8.675879,0.436551
223,6.480553,1.000000,1.000000,377,8.714327,0.438511
224,6.524103,1.000000,1.000000,377,8.763204,0.441003
225,6.524370,1.000000,1.000000,377,8.766692,0.441181
226,6.567753,1.000000,1.000000,377,8.805110,0.443140
227,6.610470,1.000000,1.000000,377,8.853957,0.445632
228,6.610748,1.000000,1.000000,377,8.857443,0.445809
229,6.653467,1.000000,1.000000,377,8.895859,0.447769
230,6.696993,1.000000,1.000000,377,8.944651,0.450259
231,6.697266,1.000000,1.000000,377,8.948134,0.450437
232,6.740440,1.000000,1.000000,377,8.986480,0.452394
233,6.783348,1.000000,1.000000,377,9.035279,0.454885
234,6.783613,1.000000,1.000000,377,9.038760,0.455063
235,6.826929,1.000000,1.000000,377,9.077097,0.457020
236,6.871315,1.000000,1.000000,377,9.125858,0.459511
237,6.871586,1.000000,1.000000,377,9.129336,0.459688
238,6.915253,1.000000,1.000000,377,9.167634,0.461645
239,6.957815,1.000000,1.000000,377,9.219843,0.464313
240,6.958096,1.000000,1.000000,377,9.223320,0.464490
241,7.000767,1.000000,1.000000,377,9.258125,0.466269
242,7.044285,1.000000,1.000000,377,9.306810,0.468758
243,7.044556,1.000000,1.000000,377,9.310285,0.468935
244,7.088015,1.000000,1.000000,377,9.348545,0.470892
245,7.131266,1.000000,1.000000,377,9.397192,0.473379
246,7.131678,1.000000,1.000000,377,9.400664,0.473557
247,7.174479,1.000000,1.000000,377,9.438872,0.475511
248,7.218149,1.000000,1.000000,377,9.490982,0.478178
249,7.218397,1.000000,1.000000,377,9.494452,0.478355
250,7.261883,1.000000,1.000000,377,9.532672,0.480311
251,7.305025,1.000000,1.000000,377,9.581240,0.482797
252,7.305296,1.000000,1.000000,377,9.584707,0.482975
253,7.347990,1.000000,1.000000,377,9.622891,0.484930
254,7.391563,1.000000,1.000000,377,9.671432,0.487416
255,7.391827,1.000000,1.000000,377,9.674896,0.487593
256,7.435104,1.000000,1.000000,377,9.713049,0.489547
257,7.478025,1.000000,1.000000,377,9.761556,0.492033
258,7.478292,1.000000,1.000000,377,9.765018,0.492210
