wallTime,elapsed,local,requested,repeated,count,kind,x,y,z,fx,fy,fz,duration,remaining,radius,owner,first,second,split,cycle,process
63925005567.59,11.95799,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,49432
63925005567.653,12.01798,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,49432
63925005567.7199,12.09797,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,49432
63925005567.7867,12.15796,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,49432
63925005567.8534,12.19795,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,49432
63925005568.1554,12.25794,1,0,0,7,1,-6,0.1,-6,0,0,1,5,2.772108,1.495,1,0.3925,1.35,0,2,49432
63925005568.1554,12.25794,1,0,0,7,2,0,0.1,-6,0,0,1,6,3.772109,0,-1,1.4,0.6,1,2,49432
63925005568.1554,12.25794,1,0,0,7,3,6,0.1,-6,1,0,0,3,0.7721087,0.8,1,0,0,0,2,49432
63925005568.1554,12.25794,1,0,0,7,4,-6,0.1,0,0,0,-1,3,0.7721087,0.55,2,1.45,0,0,2,49432
63925005568.1554,12.25794,1,0,0,7,5,0,0.1,0,0,0,0,5,2.772108,2.1,1,0,0,0,2,49432
63925005568.1554,12.25794,1,0,0,7,6,6,0.1,0,0,0,0,6,3.772109,1.44,3,1.4,0,0,2,49432
63925005568.1554,12.25794,1,0,0,7,7,-6,0.1,6,0.9999999,0,-1.192093E-07,5,2.772108,0,-1,-1,0,0,2,49432
63925005568.1628,12.61788,1,0,0,7,1,-6,0.1,-6,0,0,1,5,2.755441,1.495,1,0.3925,1.35,0,2,49432
63925005568.1628,12.61788,1,0,0,7,2,0,0.1,-6,0,0,1,6,3.755442,0,-1,1.4,0.6,1,2,49432
63925005568.1628,12.61788,1,0,0,7,3,6,0.1,-6,1,0,0,3,0.7554417,0.8,1,0,0,0,2,49432
63925005568.1628,12.61788,1,0,0,7,4,-6,0.1,0,0,0,-1,3,0.7554417,0.55,2,1.45,0,0,2,49432
63925005568.1628,12.61788,1,0,0,7,5,0,0.1,0,0,0,0,5,2.755441,2.1,1,0,0,0,2,49432
63925005568.1628,12.61788,1,0,0,7,6,6,0.1,0,0,0,0,6,3.755442,1.44,3,1.4,0,0,2,49432
63925005568.1628,12.61788,1,0,0,7,7,-6,0.1,6,0.9999999,0,-1.192093E-07,5,2.755441,0,-1,-1,0,0,2,49432
63925005568.228,12.67787,1,0,0,7,1,-6,0.1,-6,0,0,1,5,2.464237,1.495,1,0.3925,1.35,0,2,49432
63925005568.228,12.67787,1,0,0,7,2,0,0.1,-6,0,0,1,6,3.464239,0,-1,1.4,0.6,1,2,49432
63925005568.228,12.67787,1,0,0,7,3,6,0.1,-6,1,0,0,3,0.4642383,0.8,1,0,0,0,2,49432
63925005568.228,12.67787,1,0,0,7,4,-6,0.1,0,0,0,-1,3,0.4642383,0.55,2,1.45,0,0,2,49432
63925005568.228,12.67787,1,0,0,7,5,0,0.1,0,0,0,0,5,2.464237,2.1,1,0,0,0,2,49432
63925005568.228,12.67787,1,0,0,7,6,6,0.1,0,0,0,0,6,3.464239,1.44,3,1.4,0,0,2,49432
63925005568.228,12.67787,1,0,0,7,7,-6,0.1,6,0.9999999,0,-1.192093E-07,5,2.464237,0,-1,-1,0,0,2,49432
63925005568.2946,12.65788,1,0,0,7,1,-6,0.1,-6,0,0,1,5,2.39757,1.495,1,0.3925,1.35,0,2,49432
63925005568.2946,12.65788,1,0,0,7,2,0,0.1,-6,0,0,1,6,3.397571,0,-1,1.4,0.6,1,2,49432
63925005568.2946,12.65788,1,0,0,7,3,6,0.1,-6,1,0,0,3,0.3975709,0.8,1,0,0,0,2,49432
63925005568.2946,12.65788,1,0,0,7,4,-6,0.1,0,0,0,-1,3,0.3975709,0.55,2,1.45,0,0,2,49432
63925005568.2946,12.65788,1,0,0,7,5,0,0.1,0,0,0,0,5,2.39757,2.1,1,0,0,0,2,49432
63925005568.2946,12.65788,1,0,0,7,6,6,0.1,0,0,0,0,6,3.397571,1.44,3,1.4,0,0,2,49432
63925005568.2946,12.65788,1,0,0,7,7,-6,0.1,6,0.9999999,0,-1.192093E-07,5,2.39757,0,-1,-1,0,0,2,49432
63925005568.3447,12.71786,1,0,0,7,1,-6,0.1,-6,0,0,1,5,2.347569,1.495,1,0.3925,1.35,0,2,49432
63925005568.3447,12.71786,1,0,0,7,2,0,0.1,-6,0,0,1,6,3.34757,0,-1,1.4,0.6,1,2,49432
63925005568.3447,12.71786,1,0,0,7,3,6,0.1,-6,1,0,0,3,0.3475703,0.8,1,0,0,0,2,49432
63925005568.3447,12.71786,1,0,0,7,4,-6,0.1,0,0,0,-1,3,0.3475703,0.55,2,1.45,0,0,2,49432
63925005568.3447,12.71786,1,0,0,7,5,0,0.1,0,0,0,0,5,2.347569,2.1,1,0,0,0,2,49432
63925005568.3447,12.71786,1,0,0,7,6,6,0.1,0,0,0,0,6,3.34757,1.44,3,1.4,0,0,2,49432
63925005568.3447,12.71786,1,0,0,7,7,-6,0.1,6,0.9999999,0,-1.192093E-07,5,2.347569,0,-1,-1,0,0,2,49432
63925005568.4103,12.77785,1,0,0,7,1,-6,0.1,-6,0,0,1,5,2.280849,1.495,1,0.3925,1.35,0,2,49432
63925005568.4103,12.77785,1,0,0,7,2,0,0.1,-6,0,0,1,6,3.280851,0,-1,1.4,0.6,1,2,49432
63925005568.4103,12.77785,1,0,0,7,3,6,0.1,-6,1,0,0,3,0.2808505,0.8,1,0,0,0,2,49432
63925005568.4103,12.77785,1,0,0,7,4,-6,0.1,0,0,0,-1,3,0.2808505,0.55,2,1.45,0,0,2,49432
63925005568.4103,12.77785,1,0,0,7,5,0,0.1,0,0,0,0,5,2.280849,2.1,1,0,0,0,2,49432
63925005568.4118,12.77785,1,0,0,7,6,6,0.1,0,0,0,0,6,3.280851,1.44,3,1.4,0,0,2,49432
63925005568.4118,12.77785,1,0,0,7,7,-6,0.1,6,0.9999999,0,-1.192093E-07,5,2.280849,0,-1,-1,0,0,2,49432
63925005568.4612,12.83784,1,0,0,7,1,-6,0.1,-6,0,0,1,5,2.230849,1.495,1,0.3925,1.35,0,2,49432
63925005568.4612,12.83784,1,0,0,7,2,0,0.1,-6,0,0,1,6,3.23085,0,-1,1.4,0.6,1,2,49432
63925005568.4612,12.83784,1,0,0,7,3,6,0.1,-6,1,0,0,3,0.23085,0.8,1,0,0,0,2,49432
63925005568.4612,12.83784,1,0,0,7,4,-6,0.1,0,0,0,-1,3,0.23085,0.55,2,1.45,0,0,2,49432
63925005568.4612,12.83784,1,0,0,7,5,0,0.1,0,0,0,0,5,2.230849,2.1,1,0,0,0,2,49432
63925005568.4612,12.83784,1,0,0,7,6,6,0.1,0,0,0,0,6,3.23085,1.44,3,1.4,0,0,2,49432
63925005568.4612,12.83784,1,0,0,7,7,-6,0.1,6,0.9999999,0,-1.192093E-07,5,2.230849,0,-1,-1,0,0,2,49432
63925005568.5111,12.85784,1,0,0,7,1,-6,0.1,-6,0,0,1,5,2.180848,1.495,1,0.3925,1.35,0,2,49432
63925005568.5111,12.85784,1,0,0,7,2,0,0.1,-6,0,0,1,6,3.180849,0,-1,1.4,0.6,1,2,49432
