wallTime,elapsed,local,requested,repeated,count,kind,x,y,z,fx,fy,fz,duration,remaining,radius,owner,first,second,split,cycle,process
63925005563.3399,7.858681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005563.3908,7.898674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005563.4409,7.958664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005563.5073,8.018654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005563.5741,8.078644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005563.6236,8.138634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005563.674,8.178627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005563.7245,8.238617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005563.7909,8.298607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005563.8413,8.358597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005563.9083,8.418587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005563.9588,8.478577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005564.0084,8.51857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005564.0745,8.57856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005564.1243,8.63855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005564.1915,8.69854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005564.2586,8.778526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005564.3248,8.838516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005564.392,8.898506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005564.441,8.958496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005564.5076,9.018486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005564.5584,9.078476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005564.6259,9.138466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005564.6925,9.198456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005564.7589,9.278442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005564.8091,9.318436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005564.875,9.378426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005564.9422,9.458412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005565.0089,9.518402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005565.0748,9.578392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005565.1249,9.638382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005565.192,9.698372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005565.2418,9.758362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005565.2921,9.798355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005565.3414,9.858345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005565.4088,9.918335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005565.4749,9.978325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005565.5562,10.01832,0,0,0,7,1,-6,0.1,-6,0,0,1,5,5,1.495,1,0.3925,1.35,0,0,47940
63925005565.5562,10.01832,0,0,0,7,2,0,0.1,-6,0,0,1,6,6,0,-1,1.4,0.6,1,0,47940
63925005565.5562,10.01832,0,0,0,7,3,6,0.1,-6,1,0,0,3,3,0.8,1,0,0,0,0,47940
63925005565.5572,10.01832,0,0,0,7,4,-6,0.1,0,0,0,-1,3,3,0.55,2,1.45,0,0,0,47940
