frame,real_seconds,art_scale,target_scale,dust_vertices
504,3.753429,1.000000,1.000000,0
505,3.756716,1.000000,1.000000,0
506,3.760067,1.000000,1.000000,0
507,3.763393,1.000000,1.000000,0
508,3.766708,1.000000,1.000000,0
509,3.789692,1.000000,1.000000,0
510,3.813084,1.000000,1.000000,0
511,3.813324,1.000000,1.000000,0
512,3.816711,1.000000,1.000000,0
513,3.820053,1.000000,1.000000,0
514,3.823406,1.000000,1.000000,0
515,3.826727,1.000000,1.000000,0
516,3.830032,1.000000,1.000000,0
517,3.833372,1.000000,1.000000,0
518,3.836744,1.000000,1.000000,0
519,3.860491,1.000000,1.000000,0
520,3.884602,1.000000,1.000000,0
521,3.884855,1.000000,1.000000,0
522,3.886738,1.000000,1.000000,0
523,3.890072,1.000000,1.000000,0
524,3.893385,1.000000,1.000000,0
525,3.896704,1.000000,1.000000,0
526,3.900051,1.000000,1.000000,0
527,3.903368,1.000000,1.000000,0
528,3.927036,1.000000,1.000000,0
529,3.950905,1.000000,1.000000,0
530,3.951160,1.000000,1.000000,0
531,3.953402,1.000000,1.000000,0
532,3.956797,1.000000,1.000000,0
533,3.960295,1.000000,1.000000,0
534,3.963451,1.000000,1.000000,0
535,3.966745,1.000000,1.000000,0
536,3.970108,1.000000,1.000000,0
537,3.992971,1.000000,1.000000,0
538,4.016174,1.000000,1.000000,0
