time,elapsed,host,local,round,held,charge,spin,torso,arm,shoeState,shoeSpin,bodyX,bodyZ
18.0202,6.8618,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
18.0707,6.9122,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
18.1210,6.9626,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
18.1715,7.0130,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
18.2221,7.0637,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
18.2726,7.1142,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
18.3230,7.1645,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
18.3730,7.2145,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
18.4241,7.2656,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
18.4743,7.3158,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
18.5246,7.3661,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
18.5751,7.4166,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
18.6258,7.4673,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
18.6769,7.5184,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
18.7272,7.5688,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
18.7775,7.6190,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
18.8281,7.6696,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
18.8784,7.7199,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
18.9290,7.7705,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
18.9810,7.8226,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
19.0316,7.8732,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
19.0823,7.9238,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
19.1326,7.9741,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
19.1827,8.0242,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
19.2334,8.0750,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
19.2834,8.1250,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
19.3335,8.1750,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
19.3839,8.2254,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
19.4342,8.2757,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
19.4851,8.3266,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
19.5352,8.3768,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
19.5858,8.4273,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
19.6361,8.4776,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
19.6863,8.5278,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
19.7372,8.5787,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
19.7873,8.6288,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
19.8380,8.6795,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
19.8888,8.7304,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
19.9408,8.7823,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
19.9910,8.8325,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
20.0418,8.8833,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
20.0923,8.9338,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
20.1424,8.9839,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
20.1925,9.0340,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
20.2430,9.0845,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
20.2934,9.1349,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
20.3436,9.1851,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
20.3940,9.2356,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
20.4445,9.2860,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
20.4947,9.3362,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
